NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
27	0	1673	NAME_ISLANDFINAL_ZEN	C_GETNAME_CURRENTLEVEL.NAME_LEVEL	PRINTSCREEN.PAR0	Лощина	Kotlina
28	0	1674	NAME_SPYRALMINE_ODY_ZEN	---	---	Спиральная шахта	Spiralna kopalnia
29	0	1675	NAME_NATURWORLD_ZEN	C_GETNAME_CURRENTLEVEL.NAME_LEVEL	PRINTSCREEN.PAR0	Остров испытания	Wyspa próby
31	0	1677	NAME_MOUNTAINWORLD_ZEN	C_GETNAME_CURRENTLEVEL.NAME_LEVEL	PRINTSCREEN.PAR0	Баронство	Baronia
33	0	1679	NAME_ARIDONIA_FLUCHTTUNNEL_ZEN	---	---	Тайная шахта	Ukryta kopalnia
34	0	1680	NAME_ERZTAL_ZEN	C_GETNAME_CURRENTLEVEL.NAME_LEVEL	PRINTSCREEN.PAR0	Котлован	Wykop
35	0	1681	NAME_TERYSOA_ZEN	---	---	Терисоя	Terysoa
36	0	1682	NAME_MONASTERYYARD_ZEN	---	---	Хозяйственный двор	Dziedziniec
37	0	1683	NAME_MM_WORLDD_ZEN	---	---	Поля драконов	Smocze pola
39	0	1685	TIPS_LOADING_COMMONWORLDS_2	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Огонек поможет в сборе различных предметов, а также в поиске скрытых вещей	Ognik pomoże w zbieraniu różnych przedmiotów, a także w wyszukiwaniu ukrytych rzeczy
50	0	1696	TIPS_LOADING_COMMONWORLDS_13	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Герой может получить около 92 достижений за изучение мира. | В дневнике записывается день, когда получено достижение	Bohater może zdobyć około 92 osiągnięć za odkrywanie świata. | W dzienniku zapisany będzie dzień, w którym zdobyto osiągnięcie
52	0	1698	TIPS_LOADING_COMMONWORLDS_15	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Переработать добычу выгоднее, чем продать ее как есть	Użycie surowca w wytwarzaniu jest bardziej opłacalne, niż jego sprzedaż w formie surowej
66	0	1712	TIPS_LOADING_COMMONWORLDS_29	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Для переключения между режимами алхимии | используйте сочетание клавиш Right Shift + K	Aby przełączać się między trybami wytwarzania | użyj kombinacji klawiszy Prawy Shift + K
67	0	1713	TIPS_LOADING_COMMONWORLDS_30	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Чтобы попасть в Лощину, обратитесь к Ватрасу | после наступления 4 главы. Либо же вы можете помочь | Мелитону в его миссии в Долине Рудников	Aby dostać się do Kotliny, zwróć się do Vatrasa | po rozpoczęciu rozdziału 4. Możesz też pomóc | Melitonowi w jego misji w Górniczej Dolinie
68	0	1714	TIPS_LOADING_COMMONWORLDS_31	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Знаком ! перед названием обозначены важные для сюжета квесты	Symbole ! przed nazwą oznaczają zadania istotne dla fabuły
69	0	1715	TIPS_LOADING_COMMONWORLDS_32	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Сплеш урон требует запасов выносливости	Zadanie obrażeń obszarowych wymaga posiadania odpowiedniego zapasu wytrzymałości
97	0	1743	TIPS_LOADING_NEWWORLD_28	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	У ремесленников на улице мастеров вы можете приобрести книжки, | в которых описано взаимодействие с каждым верстаком или рабочим столом	U rzemieślników w Dzielnicy Mistrzów można kupić książki, | w których opisano sposób korzystania z każdego stołu warsztatowego
136	0	1782	TIPS_LOADING_ISLANDFINAL_1	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Узнайте историю Хако	Poznaj historię Hako
137	0	1783	TIPS_LOADING_ISLANDFINAL_2	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Когда кажется все так просто, это все не просто так	Kiedy coś wydaje się takie proste, wcale takie nie jest.
138	0	1784	TIPS_LOADING_ISLANDFINAL_3	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Здесь находится единственный алтарь Аданоса на острове	Tutaj znajduje się jedyny ołtarz Adanosa na świecie.
139	0	1785	TIPS_LOADING_NATURWORLD_1	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Соберите ингредиенты для крафта доспеха	Zbierz składniki potrzebne do wytworzenia zbroi
140	0	1786	TIPS_LOADING_NATURWORLD_2	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Найдите оружие с высоким уроном	Znajdź broń zadającą duże obrażenia
141	0	1787	TIPS_LOADING_NATURWORLD_3	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Стрелковые боеприпасы можно ремонтировать	Amunicję do broni dystansowych można naprawiać
142	0	1788	TIPS_LOADING_NATURWORLD_4	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Мракорис-альбинос появится после убийства трех боссов	Cieniostwór-albinos pojawi się po pokonaniu trzech bossów
143	0	1789	TIPS_LOADING_NATURWORLD_5	B_LOGENTRY_QUIET.ENTRY	LOG_ADDENTRY.PAR1	Диалоги костра имеют дополнительные возможности | Отключите графический крафт, чтобы их увидеть	Przy ognisku są dodatkowe opcje | Wyłącz graficzny tryb wytwarzania przedmiotów, aby je zobaczyć
